MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,Product Name
HEMAS MANUFACTURING (PVT) LTD,CLOGARD,CLOGARD/70G/CDBOX/STRONGER TEETH NATURAL SALT,70,GM,70G,CDBOX,"Stronger Teeth Natural Salt (based on the provided string, the product name seems to be inferred as it doesn't explicitly contain ""product"" or ""name"" in its structure)"
SMART FOOD PRODUCTS,SMART PLUS,SMART PLUS/190ML/GLBOT/CHOCOLATE MILK DRINK ,190,ML,190ML,GLBOT ,CHOCOLATE MILK DRINK (SMART PLUS)
TURNEY BISCUITS MANUFACTERIES,TURNEY,TURNEY/150/GM/MILK CREAM,10000,10000,150 GM,PLPCH,MILK CREAM
DIYA INDUSTRIES,SUN PRODUCTS ,SUN PRODUCTS \1000\G\POUCH \PEPPER POWER ,1000,GM,1000G,POUCH ,PEPPER POWER (From SUN PRODUCTS)
MOTHA CONFECTIONERY WORKS (PVT) LTD,MOTHA,MOTHA /28/ML/GBT/APPLE GREEN FOOD COLORING,28,ML,28ML,GBT,Apple Green Food Coloring
NESTLE LANKA,MAGGI,MAGGI/75/G/NO-1/EWRPK/ PAPARE BLAST,75,GM,75G,EWRPK ,Papare Blast
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL,"VENDOL/85/GM/CDBOX/VENDOL VENIVEL TURMERIC,VENIVEL,MARGOSA,SANDALWOOD WITH ALOE VERA +SAVE 30",85,GM,85GM,CDBOX,"Vendol Venivel Turmeric, Venivel, Margosa, Sandalwood with Aloe Vera"
HEMAS MARKETING,FEMS,FEMS/10 SANAKIN/3X PROTECTION /,10000,10000,10,POCH ,Sanakin/3X Protection
HEMAS MARKETING,FEMS ,FEMS/10 NAPKIN/DRYTEX 3X PROTECTION ,10000,10000,10 NAPKINS,POCH ,Drytex 3X Protection Napkin
UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,SUNLIGHT/1000/GM/PL POUCH/BEST EVER CLEAN & CITRUS FRESH DETERGENT POWDER + FREE SUNLIGHT/200/GM/PL POUCH/ CLEAN & ROYAL LAVENDER ,10000,10000,1000 GM,PL POUCH ,"1. BEST EVER CLEAN & CITRUS FRESH DETERGENT POWDER
   2. CLEAN & ROYAL LAVENDER (Assuming this is a separate product since it's listed after the first one and has different attributes)"
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490/GM/SUPER CREAM CRACKER ENRICHED WITH VITAMINS + PRICE OFF RS 60,10000,10000,490 GM ,PL POUCH,SUPER CREAM CRACKER ENRICHED WITH VITAMINS
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/200/GM/CDBOX/FULL CREAM MILK POWDER + SAVE RS.20/,10000,10000,200 GM,CDBOX ,Full Cream Milk Powder
UNILEVER SRI LANKA LTD,PEARS,PEARS/50/ML/PLBOT/RATHMAL BABY CREAM,10000,10000,50 ML,PLBOT ,Rathmal Baby Cream
RAJAGALA LANKA HOLDINGS (PVT) LTD,RAJAGALA,RAJAGALA/25/GM/PLPCH/ PEPPER POWDER ,25,GM,25GM,PLPCH,PEPPER POWDER
RAJAGALA LANKA HOLDINGS (PVT) LTD,RAJAGALA ,RAJAGALA/100/GM/PLPCH/CUTTLFISH SOYA MEAT,100,GM,100GM,PLPCH,Cuttlefish Soya Meat
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC /500/ML/PLBOT/POWER PLUS 10X AADVANCED ORIGINAL / FREE DIVA ROSE FREESH 200GM ,500,ML,500ML,PLBOT,Harpic Power Plus 10X Advanced Original
RAJAGALA LANKA HOLDINGS (PVT) LTD,RAJAGALA ,RAJAGALA/100/GM/PLPCH/PRAWNS SOYA MEAT,100,GM,100GM,PLPCH,Prawns Soya Meat
RATHNA PRODUCTS,RATHNA,RATHNA/50/GM/PLPCH/RASA PIRI TEA,50,GM,50GM,PLPCH,RASA PIRI TEA
LOTUS TOOL GROUP,LOTUS,"LOTUS/1""(25MM)/BRUSH ",10000,10000,"1""(25MM)",BRUSH ,Lotus Brush
DECORATIVE TOOLS & BRUSHES (PVT) LTD,E-ZY,"E-ZY/9/(229)/""/POLYTHENE COVER/ROLLER BRUSH, INTERIOR ",10000,10000,"9""",POLYTHENE COVER ,POLYTHENE COVER ROLLER BRUSH (Interior)
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ,MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,490,GM,490G,PLPCH ,Cream Cracker (assuming that Maliban/490/G/PLPCH is a part of the product code or manufacturer's reference)
MAMMA PRODUCTS (PVT) LTD,MAMMA,MAMMA/100/GM/PLPCH/CHILLI PIECES,100,GM,100GM,PLPCH ,CHILLI PIECES
MAMMA PRODUCTS (PVT) LTD,MAMMA,MAMMA/100/GM/PLPCH/TRINCO CURRY POWDER,100,GM,100GM,PLPCH,TRINCO CURRY POWDER
UNILEVER SRI LANKA LTD,FAIR & LOVELY IS NOW GLOW & LOVELY POWDER FINISH,FAIR & LOVELY IS NOW GLOW & LOVELY POWDER FINISH/50/GM/CDB/MULTI VITAMINS + BRIGHTENING POWDER 24HR OIL CONTROL MATTE BRIGHT ,50,GM,50GM ,CDB,GLOW & LOVELY POWDER FINISH
C.W. MACKIE PLC,HIMALAYA,HIMALAYA/50/GM/CDB/REVITALIZING NIGHT CREAM ,50,GM,50GM,CDB,REVITALIZING NIGHT CREAM
HI-CARE PHARMA PVT LTD,LIA,LIA/200/ML/PBT/HERBAL MOISTURISING WITH ALOE VERA & OLIVE OIL ULTIMATE MOISTURE BODY LOTION ,200,ML,200ML ,PBT,Ultimate Moisture Body Lotion (Herbal Moisturising with Aloe Vera & Olive Oil)
EMAMI INDO LANKA PVT LTD,FAIR & HANDSOME,EMAMI FAIR & HANDSOME IS NOW SMART & HANDSOME/25/GM/CDB/ADVANCED GROOMING RADIANT GLOW FOR MEN,25,GM,25GM ,CDB,Emami Fair & Handsome Advanced Grooming Radiant Glow for Men
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS/50/ML/CDB/PURE & GENTLE BABY COLOGNE/FREE/PEARS/70/GM/CDB/RATHMAL & KOKUM BABY SOAP ,50,ML,50ML ,CDB,"Pure & Gentle Baby Cologne, Rathmal & Kokum Baby Soap"
MARVEL MARKETING (PVT) LTD,MARVEL LADY,MARVEL LADY/10/NO/DRITEX SUPER SLIM M PLUS AIR LAID FOR ALL DAY,10,NO,10NO,10000,Dritex Super Slim M Plus Air Laid for All Day
NATURAL WONDERS (PVT) LTD,SOUL MATE,SOUL MATE/25/ML/CDB/SUNFLOWER VAPORISATEUR NATURAL SPRAY ,25,ML,25ML,CDB,SOUL MATE/CDB/SUNFLOWER VAPORISATEUR NATURAL SPRAY
ICL MARKETING,EVA,EVA/08/NO/PLPCH/STAR/DRITEX WINGS/SANITARY PAD,10000,10000,08 NO,PLPCH ,Dritex Wings (Sanitary Pad)
HELABIMA FOOD (PVT) LTD,HELABIMA,HELABIMA/100/GM/PLPCH/CHILLI POWDER ,10000,10000,100 GM,PLPCH ,Chilli Powder
AKZO NOBEL,DULUX,"DULUX/4/LTR/PL CANISTER/AQUA TECH,EXTERIOR,FLEX,WATERPROOFING, BRILLIANT WHITE ",4,LTR,4LTR,PL CANISTER ,AQUA TECH FLEX WATERPROOFING
AKZO NOBEL,DULUX,"DULUX/4/LTR/PL CANISTER/WEATHERSHIELD,POWERFLEXX, BRILLIANT WHITE ",4,LTR,4LTR,PL CANISTER ,"WEATHERSHIELD, POWERFLEXX (Brilliant White)"
AKZO NOBEL,DULUX,"DULUX/10/LTR/PL CANISTER/WEATHERSHIELD, POWERFLEXX, BRILLIANT WHITE ",10,LTR,10LTR,PL CANISTER ,Weathershield PowerFlex (Brilliant White)
JANATHA ESTATE DEV. BOARD,JANAVASAMA,JANAWASAMA BOPF TEA/500/GM/PLPCH,10000,10000,500 GM,PLPCH,JANAWASAMA BOPF TEA
DILEE FOODS,DILEE,DILEE/25/GM/PLPCH/TURMERIC POWDER,10000,10000,25 GM,PLPCH,TURMERIC POWDER
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE\490\G\EWRPK \SUPER CREAM CRACKER SAVE R.S 60,490,GM,490G,EWRPK ,SUPER CREAM CRACKER
B.S.T.TRADERS,ROSETTE,ROSETTE/120/PGS/1NO/EXERCISE BOOK,120,PGS,120PGS,1NO,EXERCISE BOOK
JEYA MAKES,JEYA MAKES,JEYA MAKES/50/GM/PLPCH/CHILLI PIECES,50,GM,50G,PLPCH,CHILLI PIECES
KANDURATA TEA PRODUCTS (PVT) LTD,KANDURATA ,KANDURATA/50/GM/CHILLI POWER/PLPCH ,10000,10000,50 GM,PLPCH ,CHILLI POWER
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,Maliban/Cream Cracker
JAYARASA PRODUCT,JAYARASA,JAYARASA /25G/POCH PACK /CHIKEN CURRY ,25,GM,25G,POCH ,CHIKEN CURRY
HEMAS MARKETING,FEMS,FEMS/10 SANAKIN/3X PROTECTION /,10000,10000,10,POCH ,Sanakin/3X Protection
HEMAS MARKETING,FEMS ,FEMS/10 NAPKIN/DRYTEX 3X PROTECTION ,10000,10000,10 NAPKINS,POCH ,DryTex 3X Protection Napkin
JAYARASA PRODUCT,JAYARASA,JAYARASA /50G/POCH PACK /CHIKEN CURRY ,50,GM,50G,POCH ,CHIKEN CURRY
UNILEVER SRI LANKA LTD,CLOSE UP,CLOSEUP /120G/CD BOX/TRIPLE FRESH /SAVE 90/-,120,GM,120G,CD,Closeup (Toasterpaste)
DUMINDU INDUSTRIES AND PRINTERS PVT LTD,WRITE ,WRITE /CR40,10000,10000,40,P,CR40 (from WRITE /CR40)
MADUMALI PRODUCTS,MADUMALI ,MADUMALI /50G/POCH PACK /MEET CURRY ,50,GM,50G,POCH ,MEET CURRY
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500ML/PET/ORIGINAL /FREE DIVA ROSE 200G,500,ML,500ML,PET,Harpic (Original)
DUMINDU INDUSTRIES AND PRINTERS PVT LTD,WRITE,WRITE CR/40 PAGES/1NO,10000,10000,40 PAGES,1NO,CR (assuming it is a product name)
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/200/GM/CDBOX/FULL CREAM MILK POWDER + SAVE RS.20/,10000,10000,200 GM,CDBOX ,Full Cream Milk Powder
HEMAS MARKETING,FEMS,FEMS/10 SANAKIN/3X PROTECTION /,10000,10000,10,POCH ,Sanakin/3X Protection
HEMAS MARKETING,FEMS ,FEMS/10 NAPKIN/DRYTEX 3X PROTECTION ,10000,10000,10 NAPKINS,POCH ,Drytex 3X Protection Napkin
UDAYA FOOD FRODUT,UDAYA,UDAYA/50G/POCH PACK /MEET CURRY /,50,GM,50G,POCH ,MEET CURRY
CARGILLS FOOD & BEVERAGE LIMITED,KIST,KIST/250/ML/CAN/SPARKLING ORANGE FLAVOURED DRINK,250,ML,250ML,CAN,SPARKLING ORANGE FLAVOURED DRINK
CARGILLS FOOD & BEVERAGE LIMITED,KIST,KIST/250/ML/CAN/SPARKLING GREEN APPLE FLAVOURED DRINK,250,ML,250ML,CAN,SPARKLING GREEN APPLE FLAVOURED DRINK
CARGILLS FOOD & BEVERAGE LIMITED,KIST,KIST/250/ML/CAN/SPARKLING STRAWBERRY FLAVOURED DRINK,250,ML,250ML,CAN,SPARKLING STRAWBERRY FLAVOURED DRINK
UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,SUNLIGHT/1000/GM/PL POUCH/BEST EVER CLEAN & CITRUS FRESH DETERGENT POWDER + FREE SUNLIGHT/200/GM/PL POUCH/ CLEAN & ROYAL LAVENDER ,10000,10000,1000 GM,PL POUCH ,"1. Best Ever Clean & Citrus Fresh Detergent Powder
   2. Clean & Royal Lavender"
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,Maliban/Cream Cracker
ROBERT J HALL LTD,HALLS,"HALLS/9/(225MM)/""/POLYTHENE COVER/ROLLER SLEEVEV, INTERIOR, WITH OUT HANDLE ",10000,10000,"9""",POLYTHENE COVER ,"Roller Sleeve (Polythene Cover, Interior)"
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY ,PANDA BABY /HERBAL COLOGNE /NEEM & TURMERIC,100,ML,100ML,CDBOX,PANDA BABY / HERBAL COLOGNE
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS/50/ML/GL BOTTLE/PURE & GENTLE REFRESHED SKIN IRRESISTIBLE BABY COLONGE + FREE STORY BOOK,10000,10000,50 ML ,GL BOTTLE ,"Irresistible Baby Colonge (assuming ""Colonge"" is a typo for ""College"")"
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490/GM/SUPER CREAM CRACKER ENRICHED WITH VITAMINS + PRICE OFF RS 60,10000,10000,490 GM ,PL POUCH,SUPER CREAM CRACKER ENRICHED WITH VITAMINS
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ,MALIBAN/490/GM/PL POUCH/ CREAM CRACKER FAMILY PACK+SEASONAL OFFER RS 60 OFF,10000,10000,490 GM,PL POUCH,Cream Cracker (From your provided text)
HEMAS MARKETING,BABY CHERAMY,BABY CHERAMY/50/ML/GL BOT/CLASSIC  LAVENDER ESSENCE + FREE BABY CHERAMY/50/ML/PL BOT/ALMOND EXTRACT VIT E+MILK WORTH RS 185,10000,10000,50 ML,GL BOT,"1. Baby Cheramy Classic Lavender Essence
   2. Baby Cheramy Almond Extract Vit E+Milk"
CEYLON COLD STORES,ELEPHANT HOUSE,ELEPHANT HOUSE VIBE APPLE BURST/250/ML/CAN,250,ML,250ML,CAN,Elephant House Vibe Apple Burst
CEYLON COLD STORES,ELEPHANT VIBE,ELEPHANT HOUSE VIBE GRAPE BURST/250/ML/CAN,250,ML,250ML,CAN,Elephant House Vibe Grape Burst
B.S.T.TRADERS,ROSETTE,ROSETTE/200/PGS/JAFFNA RULE ,200,PGS,200PGS,PGS,Rosette/PGS/Jaffna
ATLAS AXILLIA CO. (PVT) LTD,HOMERUN,HOMERUN/200/PGS/1NO/DOUBLE RULE,200,PGS,200PGS,1NO,Double Rule (Based on given description)
AMBEWELA PRODUCTS (PVT) LTD,AMBEWELA,AMBEWELA/80/G/PLCUP/JELLY YOGHURT/STRAWBERRY FLAVOUR ,80,GM,80G,PLCUP,Strawberry Yogurt Jelly
SPECIALTY CONSTRUCTION CHEMICALS ( PVT) LTD,NIPPOFLEX,"NIPPOFLEX/1/LTR/PL CANISTER/AQUA GUARD, WATERPROOF TOPCOAT, BRILLIANT WHITE ",1,LTR,1LTR,PL CANISTER ,"Aqua Guard, Waterproof Topcoat (Brilliant White)"
SPECIALTY CONSTRUCTION CHEMICALS ( PVT) LTD,NIPPOFLEX,"NIPPOFLEX/1/LTR/PL CANISTER/AQUA GUARD, WATERPROOF TOPCOAT,COLOUR ",1,LTR,1LTR,PL CANISTER ,"Aqua Guard, Waterproof Topcoat"
ATVEL BRUSH MANUFACTURERS (PVT) LTD,EASY,"EASY/9(229MM)/""/POLYTHENE COVER/ INTERIOR & EXTERIOR, PAINT ROLLER,GREEN , WITH OUT HANDLE",10000,10000,"9""",POLYTHENE COVER ,Polythlene Cover Paint Roller (Green)
SPECIALTY CONSTRUCTION CHEMICALS ( PVT) LTD,NIPPOFLEX,"NIPPOFLEX/4/LTR/PL CANISTER/AQUA GUARD, WATERPROOF TOPCOAT,COLOUR ",4,LTR,4LTR,PL CANISTER ,"Aqua Guard, Waterproof Topcoat"
SPECIALTY CONSTRUCTION CHEMICALS ( PVT) LTD,NIPPOFLEX,"NIPPOFLEX/4/LTR/PL CANISTER/AQUA GUARD, WATERPROOF TOPCOAT, BRILLIANT WHITE ",4,LTR,4LTR,PL CANISTER ,"Aqua Guard, Waterproof Topcoat (Brilliant White)"
SHELLO COSMETICS CO (PVT)LTD,SHELLO,SHELLO/50G/CDBOX/WHITENING MOISTURISING FACE CREAM ,50,GM,50G ,CDBOX ,Whitening Moisturising Face Cream
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL,VENDOL VOLIN ORIGINAL / KOHOMBA/80GM/ CDBOX ,80,GM,80GM ,CDBOX ,Vendol Volin Original / Kohomba
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE\490\G\EWRPK \SUPER CREAM CRACKER SAVE R.S 60,490,GM,490G,EWRPK ,SUPER CREAM CRACKER
CARGILLS QUALITY DAIRIES (PVT) LTD,KIST CREAMY CHOC,KIST\360\G\PLPCH \CREAMY CHOC\SAVE R.S. 20,360,GM,360G,PLPCH,CREAMY CHOC
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY \80\ML\PBT\STRONG & THICK HEALTH SHAMPOO WITH RICE WATER PORTIEN +VITAMIN E ,80,ML,80ML,PBT,LIFEBUY STRONG & THICK HEALTH SHAMPOO WITH RICE WATER PORTIEN +VITAMIN E
NILMINI PRODUCTS,NILMINI,NILMINI\380\G\EWRPK \DETERGENT SOAP,380,GM,380G,EWRPK ,Detergent Soap
DELMEGE DISTRIBUTOR LTD,DELMEGE,DELMEGE/FAMILY DELIGHT NOODLES/400/GM/SAVE/RS/40/PLPCH ,400,GM,400GM,PLPCH,Family Delight Noodles
AIGA CEYLON (PVT) LTD,FITS UP,FITS UP/200/ML/PLBOT/ALOE VERA DRINK,10000,10000,200 ML,PLBOT ,ALOE VERA DRINK
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,Maliban/Cream Cracker
CEYLON BEVRAGE INTERNATIONAL PVT LTD,KIST SPARKLING,KIST/250/ML/CAN/KIST SPARKLINS GREEN APPLE FLAVORED DRINK ,250,ML,250ML,CAN,KIST SPARKLINS GREEN APPLE FLAVORED DRINK
CEYLON BEVRAGE INTERNATIONAL PVT LTD,KIST SPARKLING ,KIST/250/ML/CAN/ KIST SPARKLING STRAWBERRY FLAVORED DRINK ,250,ML,250ML,CAN,KIST SPARKLING STRAWBERRY FLAVORED DRINK
CEYLON BEVRAGE INTERNATIONAL PVT LTD,KIST SPARKLING ,KIST/250/ML/CAN/KIST SPARKLING ORANGE FLAVORED DRINK  ORANGE FLAVORED DRINK ,250,ML,250ML,CAN,Orange Flavored Drink (Sparkling)
NESTLE LANKA ,MAGGI,MAGGI/75/GM/PLPCH/MAGGI PAPARE BLAST INSTANT NOODLES ,75,GM,75GM,PLPCH ,MAGGI Papadé Blast Instant Noodles
EASTERN FRODUTS,EASTERN ,EASTERN /250ML/RGB/CHOCOLATE FLAVORS /,250,ML,250ML,RGB,EASTERN / RGB / CHOCOLATE FLAVORS
DICKOYA DAIRY PRODUCTS,AGRI,AGRI FRUIT & NUT DAIRY ICE CREAM 1000ML,1000,ML,1000ML,PLTUB,AGRI FRUIT & NUT DAIRY ICE CREAM
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PBT/ORIGINAL/50/-SAVE WITH DIVA FRESH ROSE & LIME DETERGENT POWDER 200G FREE,500,ML,500ML,PBT,HARPIC ORIGINAL PBT Detergent Powder
UPALI CONSUMER PRODUCTS,SIGITHI,SIGITHI/70/GM/CDBOX/PREVENT PRICKLY HEAT BABY SOAP 70GM*2  SAVE RS 60,70,GM,70GM *2,CDBOX,Prevent Prickly Heat Baby Soap
CHELLO PRODUCTS,CHELLO,CHELLO/75/GM/PLCUP/KUMARIKA JELLY,75,GM,75GM,PLCUP,Kumarika Jelly
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490G/PLPCH/SUPER CREAM CRACKER SAVE60/-,490,GM,490G,PLPCH,Super Cream Cracker
CEYLON COLD STORES,VIBE,VIBE\250\ML\CAN\APPLE BURST,250,ML,250ML ,CAN,Apple Burst (from VIBE\250\ML\CAN)
CEYLON COLD STORES,VIBE,VIBE\250\ML\CAN\GRAPE BURST,250,ML,250ML ,CAN,Grape Burst (from VIBE 250ML CAN)
CEYLON COLD STORES,VIBE,VIBE\250\ML\CAN\KIWI BURST,250,ML,250ML ,CAN,KIWI BURST
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/HERBAL/COLOGNE/NEEM & TURMERIC/100ML/GLBOT,10000,10000,100 ML,GLBOT,PANDA BABY/HERBAL/COLOGNE/NEEM & TURMERIC
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH VANILLA DOUB.CREAM.WAFERS,SUNRICH/35/G/EWRPK/DOUBLE CREAM/VANILLA CREAM WAFERS,35,GM,35G,EWRPK,VANILLA CREAM WAfers
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPSH/PAPARE BLAST/INSTANT NOODLES ,75,GM,75G,PLPSH ,Instant Noodles (Papare Blast)
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ,MALIBAN/490/GM/PL POUCH/ CREAM CRACKER FAMILY PACK+SEASONAL OFFER RS 60 OFF,10000,10000,490 GM,PL POUCH,"Cream Cracker Family Pack (or just Cream Cracker, if assuming it's the main product)"
NARAH STATIONERS,TEN,TEN MY NOTES BOOK/PAGES 160,10000,10000,160,1 NO,My Notes Book
HANA PRODUCTS,HP HERALA HAPPIK,HP KERALA HAPPIK/500/ML/PLBOT/ORIGINAL INDIAN MIX TOILET CLEANER,500,ML,500ML,PLBOT,HP Kerala Happik Original Indian Mix Toilet Cleaner
HANA PRODUCTS,HP KERALA TILE CLEANER,HP KERALA TILE CLEANER/500/ML/PLBOT/ORIGINAL TILE CLEANER CALCIUM REMOVER,500,ML,500ML,PLBOT,Original Tile Cleaner Calcium Remover
CEYLONLIGHT PRODUCTS ,EXTRA WHITE ,EXTRA WHITE DETERGENT POWDER ROSE/1KG/PLCH,10000,10000,PLCH,1KG,EXTRA WHITE DETERGENT POWDER ROSE
CEYLONLIGHT PRODUCTS ,EXTRA WHITE ,EXTRA WHITE DETERGENT POWDER/1KG/PLCH,10000,10000,PLCH,1KG,EXTRA WHITE DETERGENT POWDER
LAK JAYA INDUSTRIES (PVT)LTD,LIDOL,NEW LIDOL FRESH/ DISH BAR/100G/PLPCH,10000,10000,PLPCH,100G,LIDOL FRESH/ DISH BAR
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY /100ML/CD BOX/ HERBAL.COLOGNE,100,ML,100ML,CD BOX,PANDA BABY HERBAL.COLOGNE
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/100/ML/PBT/SHAMPOO WITH NELLI & NEEM,10000,10000,100 ML,PBT,PANDA BABY SHAMPOO WITH NELLI & NEEM
UNILEVER SRI LANKA LTD,CLOSE UP,CLOSE UP/120/GM/CD BOX/TRIPLE FRESH FORMULA PEPPERMINT SPLASH+SAVE 90,10000,10000,120/GM,CD BOX,"PEPPERMINT SPLASH+SAVE 90 (Assuming this is the product name, since ""CLOSE UP"" seems to be a brand name and ""CD BOX"" might refer to a type of packaging, but there's no clear indication of a specific product name in the given description.)"
NATURE'S BEAUTY CREATIONS LTD,MISUMI,MISUMI/65/GM/CDB/KIYO BEAUTY SOAP ,65,GM,65GM ,CDB,KIYO BEAUTY SOAP
LANKEM CEYLON PLC,ROBBIALAC AQUA TUFF,ROBBIALAC/AQUA TUFF/BRILLIANT WHITE/10/L,10,LTR,10L,BUCKET,ROBBIALAC/AQUA TUFF/BRILLIANT WHITE
EMAMI INDO LANKA PVT LTD,EMAMI,EMAMI/50/ML/NO-1/CD BOX/SMART & HANDSOM ADVANCE GLOWING INSTANT GLOW,50,ML,50ML,CD BOX,SMART & HANDSOME ADVANCE GLOWING INSTANT GLOW
GEORGE STEUART HEALTH (PVT) LTD,BIOBALANCE,BIOBALANCE/75/ML/CD BOX /SUN PRODUCTION FACIAL CREAM SPF 50+,75,ML,75ML,CD BOX,Sun Production Facial Cream SPF 50+
ARYU PREMIUM INTERNATIONAL (PVT) LTD,ARYU,ARYU /90/G/CD BOX/SUN CREAM PREMIUM QUALITY SPF 50+ EXCELLENT PROTECTION ,90,GM,90G,CD BOX,Premium Quality Sun Cream (or simply Sun Cream)
NATURE'S MIRACLE COSMATIC,CLASSIC WHITE,CLASSIC WHITE/100/ML/CD BOX/NO-1/ CLASSIC WHITE  SHIELDING SUN CREAM,100,ML,100ML ,CD BOX,Classic White Shielding Sun Cream
EMAMI INDO LANKA PVT LTD,EMAMI,EMAMI/25/G/CD BOX/NO-1/FAIR & HANDSOME SMART & HANDSOME INSTANT GLOW,25,ML,25ML,CD BOX,"Fair & Handsome Instant Glow (Without the brand name ""EMAMI"" since it was not explicitly asked to be included)"
VELONA CUDDLES (PVT) LTD,VELONA CUDDLES,VELONA CUDDLES/100/ML/PBT/NO-1/SPLASH OF LOVE,100,ML,100ML,PBT,SPLASH OF LOVE (from VELONA CUDDLES)
UNILEVER SRI LANKA LTD,FAIR & LOVELY MENZ ACTIVE,FAIR & LOVELY/50/GM/CDBOX/IS NOW GLOW & HANDSOME INSTANT BRIGHTNESS RAPID ACTION MEN'S NO BLEACH FREE + AXE/17/ML/TICKET DEO,50,GM,50GM ,CDBOX ,"Glow & Handsome Instant Brightness Rapid Action Men's No Bleach Free + Axe (Note: There is no standalone product name in the given description, but I have combined ""Glow & Handsome Instant Brightness Rapid Action Men's No Bleach Free"" and ""Axe"" as they seem to represent different aspects of a single product)"
CEYLON BEVRAGE INTERNATIONAL PVT LTD,KIST ,KIST/250ML/CAN/SPARKLING ORANGE FLAVOURED DRINK,250,ML,250ML,CAN,SPARKLING ORANGE FLAVOURED DRINK
CEYLON BEVRAGE INTERNATIONAL PVT LTD,KIST ,KIST/250ML/CAN/SPARKLING STRAWBERRY FLAVOURED DRINK,250,ML,250ML,CAN,SPARKLING STRAWBERRY FLAVOURED DRINK
CEYLON BEVRAGE INTERNATIONAL PVT LTD,KIST ,KIST/250ML/CAN/SPARKLING GREEN APPLE FLAVOURED DRINK,250,ML,250ML,CAN,SPARKLING GREEN APPLE FLAVOURED DRINK
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK/180ML/PLBOT/NOURISHING SOFT & SMOOTH SHAMPOO FREE SUNSILK CONDITIONER 40ML ,180,ML,180ML,PLBOT,"SUNSILK Nourishing Soft & Smooth Shampoo, Sunsilk Free Conditioner"
CEYLON AGRO INDUSTRIES,PRIMA,PRIMA/325G/PLPCH/INSTANT NOODLES/FREE STELLA CHICKEN NOODLES 45G,325,GM,325G,PLPCH,INSTANT NOODLES (Stella Chicken Flavor)
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490G/PLPCH/SUPER CREAM CRACKER SAVE60/-,490,GM,490G,PLPCH,Super Cream Cracker
UNILEVER SRI LANKA LTD,PEARS,PEARS/100ML/PLBOT/KOKUM BABY CREAM SAVE/-40,100,ML,100ML,PLBOT,KOKUM BABY CREAM
UNILEVER SRI LANKA LTD,PEARS,PEARS/100ML/PLBOT/ALOE VERA & CREAM FREE SOAP 70G,100,ML,100ML,PLBOT,Aloe Vera & Cream Free Soap
UNILEVER SRI LANKA LTD,VASELINE,VASELINE/200ML/PLBOT/HEALTHY BRIGHT NIACINAMIDE VITAMIN B3+ FREE POND'S LIGHT MOISTURISER,200,ML,200ML,PLBOT,"1. Vaseline Healthy Bright Niacinamide Vitamin B3
   2. Pond's Light Moisturiser (assuming this is a separate product as it's not directly associated with the first one)"
