MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,nitemcode,company,brand,itemdesc,qty,uomdesc,pack_size,packaging,ERROR,ProductName,Suggestion
ESCHNOW INTERNATIONAL PVT LTD,REAL,REAL/1500/ML/PLBOT/BOTTELED DRINKING WATER,1500.0,,1500/ML,PLBOT ,1,,,,,,,,,MANUFACTURE,,
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA BABY,KHOMBA/67/GM/LEMONGRASS/PPP/THE SWADESHI INDUSTRIAL WORKS,67.0,GM,67GM,PPP,1,,,,,,,,,PACKSIZE,,63961
HIMALAYA WELLNESS COMPANY ,HIMALAYA ,HIMALAYA COMPLETE CARE TOOTH PASTE/40 GM/CD BOX,40.0,GM,40 GM,CD BOX ,1,,,,,,,,,MANUFACTURE,,
SANIK MARKETING PVT LTD ,DETTOL,DETTOL PROSKIN CARE 70GMÃ—3 /BUY 2 GET 1 FREE ,70.0,GM,70GM Ã—3,EWRPK ,1,,,,,,,,,MANUFACTURE,,
ICL BRANDS PVT LTD,SAFE + GUARD,SAFE+GUARD MINT BREEZE 70GMÃ—4 FREE 70GM MANDARIN TOUCH SOAP/SAVE 100,70.0,GM,70GM Ã—4,CD BOX ,1,,,,,,,,,MANUFACTURE,,
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS ALOE  VERA & NEEM BABY CREAM/200 ML/PLBOT,200.0,ML,200 ML,PLBOT,2,,,,,,,,,ITEMDESC,PEARS ALOE  VERA & NEEM BABY CREAM,
ICL BRANDS PRIVATE LIMITED ,COLGATE,COLGATE MAX FRESH COOLING CRYSTALS SPICY FRESH /70 GM+ 11 GM/ FREE 15GM EXTRA/CD BOX,70.0,,70+11 GM,CD BOX ,1,,,,,,,,,MANUFACTURE,,
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY FLORAL COLOGNE/ 100 ML/ CD BOX ,100.0,ML,100 ML,CD BOX ,1,,,,,,,,,PACKTYPE,,47310
REAL COOL BEVARAGES,REAL COOL PINEAPPLE ,REAL COOL PINEAPPLE/185/ML/PLCUP/ARTIFICIAL DRINK,185.0,ML,185ML ,PLCUP ,0,14633.0,REAL COOL BEVARAGES,REAL COOL PINEAPPLE,REAL COOL PINEAPPLE ARTIFICIAL FLAVOUR DRINK- PLCUP 185 ML,185.0,ML,185.00 ML,PLCUP,,REAL COOL PINEAPPLE DRINK,
SIDDHALEPA AYURVEDA EXPORTS,KEKULU,"KEKULU/70/GM/CDB/KING COCONUT OIL, LOTHSUMBULU, ALOE VERA/SAVE RS.15/=",70.0,GM,70GM ,CDB,2,,,,,,,,,ITEMDESC,"1. KEKULU/70/GM/CDB/KING COCONUT OIL
   2. ALOE VERA",
SIDDHALEPA AYURVEDA EXPORTS,KEKULU,"KEKULU/70/GM/CDB/KING COCONUT OIL, SANDALWOOD, AROODA, JASMINE, KOKUM POTHU/SAVE RS.15/=",70.0,GM,70GM ,CDB,2,,,,,,,,,ITEMDESC,"King Coconut Oil, Sandalwood, Arooda, Jasmine, Kokum Pothu",
LELAN MARKETING,SHINE MAX CLOREX,SHINE MAX CLOREX/60/ML/PBT,60.0,ML,60ML,PBT,1,,,,,,,,,PACKTYPE,,64149
AMARA PRODUCTS,AMARA,AMARA/100/ML/PLPCH/CHILLI PIECES,100.0,GM,100GM ,PLPCH ,1,,,,,,,,,MANUFACTURE,,
CEYLON BISCUITS LIMITED,MUNCHEE CAROL COOKIES,MUNCHEE CAROL COOKIES/85/GM/PLPCH,85.0,GM,85GM,PLPCH ,1,,,,,,,,,BRAND,,64092
ZEENATH FANCY,HP GUCCHI,HP GUCCHI/22/ML/CDB/NATURAL SPRAY ,22.0,ML,22ML ,CDB,1,,,,,,,,,BRAND,,
WIDASI PRODUCT ,WIDAS,WIDAS/I45/G/EWRPK/RAJAMUSU SOYA,45.0,GM,45G,EWRPK ,1,,,,,,,,,MANUFACTURE,,
RAIGAM MARKETING SERVICE,RAIGAM ,RAIGAM/90/G/EWRPK/NO-1/MUTTON FLAVOUR ,90.0,GM,90G,EWRPK ,1,,,,,,,,,BRAND,,64161
HEMAS MARKETING,GOYA,GOYA/70/GM/CDBOX/ROSES/PRETTY PINK,70.0,GM,70 GM,CDBOX ,2,,,,,,,,,ITEMDESC,Pretty Pink Roses,
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE/85/GM/PLPCH/CAROL COOKIES ,85.0,GM,85 GM,PLPCH ,1,,,,,,,,,BRAND,,64092
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/25/GM/PLPCH/REAL COCONUT MILK POWDER ,25.0,GM,25 GM,PLPCH ,0,63953.0,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25.0,GM,25.00 GM,PLPCH,,Maggi Real Coconut Milk Powder,
FOODCO LANK INDUSTRIES ,FOODCO,"FOODCO/250/GM/PLPCH/ICING SUGAR/IDEAL FOR DECORATING, BAKING & CONFECTIONERY ",250.0,GM,250 GM,PLPCH ,1,,,,,,,,,MANUFACTURE,,
HEMAS MARKETING,GOYA,GOYA/70/GM/CDBOX/ROSES/RUBY RED,70.0,GM,70 GM,CDBOX ,2,,,,,,,,,ITEMDESC,Ruby Red,
HEMAS MARKETING,DIVA,DIVA/100*2/GM/EWRPK/LEMON/DETERGENT SOAP/SAVE RS 30,100.0,,100*2 GM,EWRPK ,1,,,,,,,,,PACKSIZE,,64112
HEMAS MARKETING,DIVA,DIVA /200/GM/EWRPK/LEMON DIGRGENT SOPE/SAVE 30,200.0,GM,200 GM,EWRPK,2,,,,,,,,,ITEMDESC,LEMON DIGRnt SOPE,
SAHAN PRODUCTS,SAHAN,SAHAN \1\KG \PLPCH \CHILLI PIECES ,1.0,KG,1KG,PLPCH ,1,,,,,,,,,MANUFACTURE,,
SAHAN PRODUCTS,SAHAN,SAHAN \1\KG \PLPCH \CURRY POWER ,1.0,KG,1KG,PLPCH ,1,,,,,,,,,MANUFACTURE,,
ESCHNOW INTERNATIONAL PVT LTD,REAL,REAL/1000/ML/PLBOT/DRINKING WATER ,1000.0,ML,1000ML,PLBOT,1,,,,,,,,,MANUFACTURE,,
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/67/GM/EWRPK/LEMONGRASS FOR A PLAYFUL CITRUSY SENSATION ,67.0,GM,67GM,EWRPK ,2,,,,,,,,,ITEMDESC,LEMONGRASS,
WASK ENTERPRISES,SIYANRO,SIYANRO MEAT CURRY POWDER MIXTURE 50GM,50.0,GM,50GM,PLPCH,0,64159.0,WASK ENTERPRISES,SIYANRO,SIYANRO MEAT CURRY POWDER MIXTURE 50 GM PLPCH,50.0,GM,50.00 GM,PLPCH,,SIYANRO MEAT CURRY POWDER MIXTURE,
CEYLON BISCUITS LIMITED,CAROL,MUNCHEE/85/GM/CAROL COOKIES/PLPCH ,85.0,GM,85GM,PLPCH,1,,,,,,,,,BRAND,,64092
CEYLON AGRO INDUSTRIES,PRIMA STELLA,PRIMA/74/GM/PLPCH/ STELLA CHICKEN INSTANT NOODLES  (74*GM* 4)PAK FREE STORAGE BOX,74.0,GM,74GM *4,PLPCH,1,,,,,,,,,PACKSIZE,,64152
SIYATHA PRODUCTS,SIYATHA,SIYATHA/1000/GM/PLPCH/TURMERIC POWDER ,1000.0,GM,1000GM,PLPCH,0,64175.0,SIYATHA PRODUCTS,SIYATHA,SIYATHA TURMERIC POWDER 1000 GM PLPCH,1000.0,GM,1000.00 GM,PLPCH,,SIYATHA TURMERIC POWDER,
MIGARA PRODUCTS,SKYLIGHT,SKYLIGHT POWER/650/GM/EWRPK/BAR SOAP,650.0,GM,650 GM,EWRPK,1,,,,,,,,,MANUFACTURE,,
HAPPY CEYLON FOODS (PVT) LTD,HAPPY CEYLON,HAPPY CEYLON/500/GM/PLPCH/ROASTED CURRY POWDER,500.0,GM,500 GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
HAPPY CEYLON FOODS (PVT) LTD,HAPPY CEYLON,HAPPY CEYLON/1000/GM/PLPCH/CURRY POWDER,1000.0,GM,1000 GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
HAPPY CEYLON FOODS (PVT) LTD,HAPPY CEYLON,HAPPY CEYLON/1000/GM/PLPCH/CHILLI PIECES,1000.0,GM,1000 GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/70/GM/CDBOX/EXFOLIATING WELLNESS FOR REFRESHED AND MOISTURIZED SKIN/WITH VENIVEL ALMOND OIL AND COCONUT SHELL POWDER,70.0,GM,70 GM,CDBOX,1,,,,,,,,,BRAND,,64132
EDINBOROUGH PRODUCTS,EDINBOROUGH,EDINBOROUGH/180/GM/PLBT/MAYONNAISE/VEGETARIAN ,180.0,GM,180 GM,PLBT,1,,,,,,,,,MANUFACTURE,,
UNILEVER SRI LANKA LTD,RIN,RIN/200/GM/PLPCH/REFRESH LEMON & ROSE DETERGENT POWDER,200.0,GM,200GM,PLPCH,0,37076.0,UNILEVER SRI LANKA LTD,RIN,RIN REFRESH SCENT OF LEMON & ROSE DETERGENT POWDER 200 GM,200.0,GM,200.00 GM,PLPCH,,RIN REFRESH SCENT OF LEMON & ROSE DETERGENT POWDER,
LAKRASA MARKETING & DISTRIBUTOR,LAKRASA,LAKRASA/400/GM/PLPCH/SPECIAL NOODLES,400.0,GM,400GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
NESTLE LANKA,MAGGI ,MAGGI/300/GM/CD BOX/REAL COCONUT MILK POWDER+SAVE RS.75,300.0,GM,300GM,CD BOX,1,,,,,,,,,PACKSIZE,,64144
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CD BOX/MALTED FOOD+FREE MAGGI/75/GM/PLPCH/PAPARE KOTTU STYLE INSTANT NOODLES,400.0,GM,400GM,CD BOX,2,,,,,,,,,ITEMDESC,"1. NESTOMALT 
   2. PAPARE KOTTU STYLE INSTANT NOODLES",
AMA FOODS INTERNATIONAL PVT LTD,AMA,AMA/100/GM/PLCUP/GORAKA PASTE,100.0,GM,100GM,PLCUP,1,,,,,,,,,MANUFACTURE,,
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA BABY,KHOMBA BABY/100/ML/GLBT/HERBAL BABY COLOGNE/SAVE 50,100.0,ML,100 ML,CDBOX,1,,,,,,,,,PACKSIZE,,64151
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA BABY,KHOMBA BABY/100/ML/ HERBAL BABY COLOGNE /SAVE RS 50,100.0,ML,100 ML,CDBOX,1,,,,,,,,,PACKSIZE,,64151
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE/85/G/CAROL COOKIES ,85.0,GM,85 G,PLPCH,1,,,,,,,,,BRAND,,64092
WEERASINGHE TEA,WST,WST/100/G/PLUPCH/THALAWAKELE,100.0,GM,100G,PLUPCH,1,,,,,,,,,PACKSIZE,,53942
HEMAMALI FARM,AT,AT PRODUCTS/200/ML/PBT/LOW FAT DRINKING YOGHURT,200.0,ML,200 ML,PBT,1,,,,,,,,,BRAND,,64142
IMPORTED,FOGG,FOGG/120/ML/TIN/DYNAMIC,120.0,ML,120 ML,TIN,1,,,,,,,,,BRAND,,
CEYLON BISCUITS LIMITED,MUNCHEE KALO,MUNCHEE/140/GM/CDBOX/KALO CHOCOLATE CREAM,140.0,GM,140 GM,CDBOX ,1,,,,,,,,,PACKTYPE,,56462
JA BEAUTY CARE (PVT) LTD,GOLDEN TOUCH,GOLDEN TOUCH/60/GM/CDBOX/ELITE FACE GOLD ANTI WAINKLE CREAM SHEA BUTTER/RETINOLE/COCONUT OIL FOR ALL SKIN TYPE,60.0,GM,60 GM,CDBOX ,2,,,,,,,,,ITEMDESC,Elite Face Gold Anti Winkle Cream Shea Butter with Retinole and Coconut Oil,
JA BEAUTY CARE (PVT) LTD,GOLDEN TOUCH,GOLDEN TOUCH/60/GM/CDBOX/ELITE FACE GOLD DAY CREAM TEA TREE/BLUEBERRY/SPF 40 FOR OILY SKIN ,60.0,GM,60 GM,CDBOX ,0,64145.0,JA BEAUTY CARE (PVT) LTD,GOLDEN TOUCH,GOLDEN TOUCH ELITE FACE GOLD DAY CREAM - TEA TREE BLUEBERRY (SPF 40) 60 GM CDBOX (JA BEAUTY),60.0,GM,60.00 GM,CDBOX,,Golden Touch Elite Face Gold Day Cream - Tea Tree Blueberry,
PT.UNZA VITALIS,ENCHANTEUR,"ENCHANTEUR/100/ML/PLBOT/CHARMING VISIBLY RADIANT SKIN VITAMIN A,C,E & NIACINAMIDE",100.0,ML,100 ML,PLBOT ,1,,,,,,,,,MANUFACTURE,,
HEMAS PHARMACEUTICALS (PVT) LTD,ENFAMAMA,ENFAMAMA A+/400/GM/TIN/NUTRITIONAL SUPPLEMENT CHOCOLATE + FREE PHOTO FRAME,400.0,GM,400 GM,TIN,0,64034.0,HEMAS PHARMACEUTICALS (PVT) LTD,ENFAMAMA,ENFAMAMA (HEMAS) A+ VANILLA FLAVOUR NUTRITIONAL SUPPLEMENT 400 GM TIN + SAVE RS 500,400.0,GM,400.00 GM,TIN,,ENFAMIMA  A+ Vanilla Flavor Nutritional Supplement,
IMPORTED,FOGG,FOGG/120/ML/TIN/ABSOLUTE,120.0,ML,120 ML,TIN,1,,,,,,,,,BRAND,,
SMITHKLINE BEECHAM PVT LTD,SENSODYNE,SENSODYNE/SENSITIVE SOFT ADULT TOOTHBRUSH SAVE RS.95/-,,,,,1,,,,,,,,,MANUFACTURE,,63964
EMAMI LANKA (PVT) LTD,EMAMI,EMAMI/100/ML/PLBOT/7 OILS IN ONE DOUBLE CONDITIONING SHAMPOO WITH NOURISHING 7 OILS PURIFYING ALOE VERA,100.0,ML,100 ML,PLBOT ,0,64135.0,EMAMI LANKA (PVT) LTD,EMAMI,EMAMI - 7 OILS IN ONE DOUBLE CONDITIONING SHAMPOO WITH NOURISHING 7 OILS PURIFYING ALOE VERA 100 ML PLBOT,100.0,ML,100.00 ML,PLBOT,,Emami Double Conditioning Shampoo with Nourishing 7 Oils,
HEMAS PHARMACEUTICALS (PVT) LTD,ENFAMAMA,ENFAMAMA A+/400/GM/TIN/NUTRITIONAL SUPPLEMENT VANILLA SAVE RS.500/-,400.0,GM,400 GM,TIN,0,64034.0,HEMAS PHARMACEUTICALS (PVT) LTD,ENFAMAMA,ENFAMAMA (HEMAS) A+ VANILLA FLAVOUR NUTRITIONAL SUPPLEMENT 400 GM TIN + SAVE RS 500,400.0,GM,400.00 GM,TIN,,ENFAMIMA  A+ Vanilla Flavour Nutritional Supplement,
EMAMI INDO LANKA PVT LTD,EMAMI,EMAMI/30/ML/CDBOX/GOLD TURMERIC SKIN CREAM WITH 24K GOLD,30.0,ML,30 ML,CDBOX ,1,,,,,,,,,BRAND,,48185
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX/1ST CUP MALTED FOOD + FREE MAGGI/75/GM/PLPCH/PAPARE KOTTU,400.0,GM,400 GM,CDBOX ,0,63993.0,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400.0,GM,400.00 GM,CDBOX,,NESTOMALT Malted Food  and Maggi Papare Kottu,
PT.UNZA VITALIS,ENCHANTEUR,"ENCHANTEUR/100/ML/PLBOT/ROMANTIC VISIBLY RADIANT SKIN VITAMIN A,C,E & NIACINAMIDE",100.0,ML,100 ML,PLBOT ,1,,,,,,,,,MANUFACTURE,,
JA BEAUTY CARE (PVT) LTD,GOLDEN TOUCH,GOLDEN TOUCH/60/GM/CDBOX/ELITE FACE GOLD NIGHT CREAM VIT C & ORANGE FOR OILY SKIN,60.0,GM,60 GM,CDBOX ,2,,,,,,,,,ITEMDESC,Elite Face Gold Night Cream VIT C & Orange for Oily Skin,
ACE HEALTHCARE PVT LTD,SWABHA CEYLON,SWABHA CEYLON/180/ML/PLBOT/LONG AND STRONG CONDITIONER HIBISCUS JATAMANSI,180.0,ML,180 ML,PLBOT ,2,,,,,,,,,ITEMDESC,Long And Strong Conditioner Hibiscus Jatamansi,
HEMAS PHARMACEUTICALS (PVT) LTD,ENFAGROW A + 4,ENFAGROW A+/400/GM/TIN/STAGE 4 FOR 3 YEARS & ABOVE CHILDREN NUTRITIONAL SUPPLEMENT VANILLA SAVE RS.300/-,400.0,GM,400 GM,TIN,2,,,,,,,,,ITEMDESC,ENFAGROW A+ Vanilla Nutritional Supplement,
ACE HEALTHCARE PVT LTD,SWABHA CEYLON,SWABHA CEYLON/80/ML/PLBOT/LONG AND STRONG CONDITIONER WITH HIBISCUS JATAMANSI,80.0,ML,80 ML,PLBOT ,2,,,,,,,,,ITEMDESC,Long And Strong Conditioner with Hibiscus Jatamansi,
EMAMI LANKA (PVT) LTD,EMAMI,EMAMI/100/ML/PLBOT/7 OILS IN ONE DOUBLE CONDITIONING SHAMPOO WITH NOURISHING 7 OILS ELIXIR BLACKSEED ,100.0,ML,100 ML,PLBOT ,0,64136.0,EMAMI LANKA (PVT) LTD,EMAMI,EMAMI - 7 OILS IN ONE DOUBLE CONDITIONING SHAMPOO WITH NOURISHING 7 OILS ELIXIR BLACKSEED 100 ML PLBOT,100.0,ML,100.00 ML,PLBOT,,Emami Double Conditioning Shampoo with Nourishing 7 Oils Elixir Blackseed,
NISIWARA ENTERPRISES,NE,NE/1.5/PAINT BRUSH ,1.5,,1.5,,1,,,,,,,,,MANUFACTURE,,
SOORIYA GRINDING MILLS,SOORIYA ,SOORIYA/50/GM/CURRY POWDER ,50.0,GM,50GM,PLPCH,0,64176.0,SOORIYA GRINDING MILLS,SOORIYA,SOORIYA CURRY POWDER 50 GM PLPCH,50.0,GM,50.00 GM,PLPCH,,Sooriya Curry Powder,
SACHINI ENTERPRISES,MILANO,MILANO/190/ML/PLCUP/MANGO DRINK,190.0,ML,190ML,PLCUP,1,,,,,,,,,BRAND,,14630
SACHINI ENTERPRISES,MILANO,MILANO/190/ML/PLCUP/AMLA DRINK,190.0,ML,190ML,PLCUP,1,,,,,,,,,BRAND,,14631
NESTLE LANKA,NESTOMALT,NESTOMALT/400G/CDBOX/1 ST CUP MALTED FOOD FREE MAGGI PAPARE KOTTU 75G,400.0,GM,400G,CDBOX ,2,,,,,,,,,ITEMDESC,Papare Kottu,
DELMAR LANKA PVT LTD,CALIN,CALIN/70G/CDBOX/KOHOMBA WITH NEEM AND TURMERIC EXTRACT SOAP ,70.0,GM,70G ,CDBOX ,0,63929.0,DELMAR LANKA PVT LTD,CALIN,CALIN KOHOMBA SOAP WITH NEEM AND TURMERIC EXTRACT 70 GM CDBOX,70.0,GM,70.00 GM,CDBOX,,Calin Kohomba Soap with Neem and Turmeric Extract,
UNILEVER SRI LANKA LTD,SUNSILK,"SUNSILK /80ML/PLPCH/DAMAGE RESTORE WITH KING COCONUT OIL,KARATIN PROTEIN, VITAMIN C ACTIV-MIX SHAMPOO FREE LIFEBUOY MILD CARE WITH MILK PROTEIN 75G ",80.0,ML,80ML,PLBOT ,0,64018.0,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK DAMAGE RESTORE SHAMPOO WITH KING COCONUT OIL KERATIN PROTEIN & VITAMIN C ACTIV-MIX 80 ML PLBOT + FREE LIFEBUOY MILD CARE WITH MILK PROTEIN 75 GM EWRPK,80.0,ML,80.00 ML,PLBOT,,"1. SUNSILK DAMAGE RESTORE SHAMPOO WITH KING COCONUT OIL
   2. LIFEBUOY MILD CARE WITH MILK PROTEIN",
ANUSHA PRODUCTS,ANUSHA,ANUSHA/100G/EWPRK/CURRY POWDER ,100.0,GM,100G,EWPRK ,1,,,,,,,,,PACKTYPE,,64118
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK/80ML/PLBOT/NOURISHING SOFT & SMOOTH ACTIV-MIX SHAMPOO FREE LUX BRIGHT GLOW VITAMIN C + E 70G ,80.0,ML,80ML ,PLBOT ,2,,,,,,,,,ITEMDESC,Acti-Mix Shampoo Nourishing Soft & Smooth,
ICL MARKETING,BLACK KNIGHT,BLACK KNIGHT/18.5ML/PLBOT/FRESH EXTREME POCKET PERFUME ,18.5,ML,18.5ML,PLBOT ,1,,,,,,,,,PACKSIZE,,64007
ICL MARKETING,BLACK KNIGHT,BLACK KNIGHT/18.5ML/PLBOT/DARK KNIGHT POCKET PERFUME ,18.5,ML,18.5ML,PLBOT ,1,,,,,,,,,PACKSIZE,,64006
HEMAS MARKETING,GOYA,GOYA ROSES /RUBY RED /70G/ CDBOX ,70.0,GM,70G,CDBOX ,0,63960.0,HEMAS MARKETING,GOYA,GOYA (HEMAS) ROSES RUBY RED SOAP 70 GM CDBOX,70.0,GM,70.00 GM,CDBOX,,Goya  Roses Ruby Red Soap,
HEMAS MARKETING,GOYA,GOYA /ROSES /PRETTY PINK /70G/CDBOX ,70.0,GM,70G,CDBOX ,0,64036.0,HEMAS MARKETING,GOYA,GOYA (HEMAS) ROSES PRETTY PINK SOAP 70 GM CDBOX,70.0,GM,70.00 GM,CDBOX,,Goya  Roses Pretty Pink Soap,
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA BABY,SWADESHI/ KHOMBA BABY/ FLORAL /- KOHOMBA/ WITH /RATHMAL/ AND /ROSE WATER /BABY COLONGE/ 30 /ML /CDBOX,30.0,ML,30 ML,CDBOX,1,,,,,,,,,PACKSIZE,,64009
KUMUDU PRODUCT,KUMUDU ,KUMUDU/100/GM/EWRPK/ORIGINAL/FRESH FLORAL/LAUNDRY SOAP ,100.0,GM,100 GM,EWRPK ,0,64113.0,KUMUDU PRODUCT,KUMUDU,KUMUDU ORIGINAL FRESH FLORAL LAUNDRY SOAP 100 GM EWRPK,100.0,GM,100.00 GM,EWRPK,,Kumudu Original Fresh Floral Laundry Soap,
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/25/GM/PLPCH/REAL COCONUT MILK POWDER ,25.0,GM,25 GM,PLPCH ,0,63953.0,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25.0,GM,25.00 GM,PLPCH,,Maggi Real Coconut Milk Powder,
UNILEVER SRI LANKA LTD,SUNSILK,"SUNSILK/80/ML/PLBOT/NOURISHING SOFT & SMOOTH SHAMPOO/WITH EGG PROTEIN, ALMOND OIL & VITAMIN C/ACTIVE-MIX/FREE LUX 70GM SOAP",80.0,ML,80 ML,PLBOT ,0,63947.0,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN ALMOND OIL & VITAMIN C ACTIV MIX 80 ML PLBOT + FREE LUX BRIGHT GLOW ROSE & VIT C+E SOAP 70 GM EWRPK,80.0,ML,80.00 ML,PLBOT,,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN ALMOND OIL & VITAMIN C ACTIV,
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/25/GM/PLPCH/REAL COCONUT MILK POWDER ,25.0,GM,25GM,PLPCH ,0,63953.0,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25.0,GM,25.00 GM,PLPCH,,Maggi Real Coconut Milk Powder,
DEEN SPICE PRODUCTS (PVT) LTD,DEEN,DEEN/25/GM/PLPCH/TURMERIC POWDER ,25.0,GM,25GM,PLPCH ,0,64120.0,DEEN SPICE PRODUCTS (PVT) LTD,DEEN,DEEN TURMERIC POWDER 25 GM PLPCH,25.0,GM,25.00 GM,PLPCH,,DEEN Turmeric Powder,
UNILEVER SRI LANKA LTD,SURF EXCEL,SURF EXCEL/1000/KGM/PLPCH/WITH PREMIUM FRAGRANCE OF COMFORT DETERGENT POWDER/SAVE RS 210,1000.0,KGM,1000KGM,PLPCH ,1,,,,,,,,,PACKSIZE,,54060
BRILLON CONSUMER PRODUCTS ,MR MUSCLE,MR MUSCLE/500/ML/PLBOT/FLOOR CLEANER FLORAL PERFECTION ,500.0,ML,500ML,PLBOT ,1,,,,,,,,,MANUFACTURE,,
UNILEVER SRI LANKA LTD,SURF EXCEL,SURF EXCEL/500/GM/PLPCH/WITH PREMIUM FRAGRANCE OF COMFORT DETERGENT POWDER/SAVE RS 100,500.0,GM,500GM,PLPCH ,0,54060.0,UNILEVER SRI LANKA LTD,SURF EXCEL,SURF EXCEL WITH PREMIUM FRAGRANCE OF COMFORT 500 GM PLPCH,500.0,GM,500.00 GM,PLPCH,,Surf Excel,
UNILEVER SRI LANKA LTD,SUNSILK,"SUNSILK/80/ML/PLBOT /NOURISHING SOFT AND SMOOTH SHAMPOO WITH EGG PROTEIN,ALMOND OIL AND VITAMIN C WITH ACTIV-MIX FREE LUX 70 GM BRIGHT GLOW WITH VITAMIN C + E SOAP",80.0,ML,80ML,PLBOT ,0,63947.0,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN ALMOND OIL & VITAMIN C ACTIV MIX 80 ML PLBOT + FREE LUX BRIGHT GLOW ROSE & VIT C+E SOAP 70 GM EWRPK,80.0,ML,80.00 ML,PLBOT,,"SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN, ALMOND OIL & VITAMIN C ACTIV",
CARGILLS CONFECTIONERIES ( PRIVATE )LIMITED ,KIST,KIST/50/GM/PLPCH /MARIE,50.0,GM,50GM,PLPCH ,1,,,,,,,,,MANUFACTURE,,
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/400/G/PLPCH/FULL CREAM MILK POWDER /50/-SAVE,400.0,GM,400G,PLPCH ,0,63955.0,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400.0,GM,400.00 GM,PLPCH,,PELWATTE FULL CREAM MILK POWDER,
LAK JAYA INDUSTRIES (PVT) LTD,LIDOL,LIDO/1000/GM/SUPER CLEAN FRESH/PLCH,1000.0,GM,1000GM,PLCH,1,,,,,,,,,MANUFACTURE,,
LEOAN MILK FOODS (PVT) LTD,LEOAN CHOCOLATE,LEOAN CHOCOLATE/180/ML/RGB/MILK FLAVOURED ,180.0,ML,180ML ,RGB,2,,,,,,,,,ITEMDESC,LEOAN Chocolate,
LEOAN MILK FOODS (PVT) LTD,LEOAN VANILLA,LEOAN VANILLA/180/ML/RGB/MILK FLAVOURED ,180.0,ML,180ML ,RGB,2,,,,,,,,,ITEMDESC,LEOAN Vanilla,
BELLOSE LANKA LTD,BELLOSE,BELLOSE/PERFECT STRAIGHT/KERATIN/CONDITIONER/210 ML/PLBOT,210.0,ML,210 ML,PLBOT,0,63975.0,BELLOSE LANKA LTD,BELLOSE,BELLOSE PERFECT STRAIGHT KERATIN CONDITIONER 210 ML PLBOT,210.0,ML,210.00 ML,PLBOT,,BELLOSE PERFECT STRAIGHT KERATIN CONDITIONER,
WIKILIYA TEA ESTATE ( PRIVATE) LIMITED ,DARTRY VALLEY ,DARTRY VALLEY/500GM/PLPCH/FRESH /BOPF/ PURE CEYLON TEA ,500.0,GM,500GM,PLPCH ,1,,,,,,,,,MANUFACTURE,,
SACHIE BISCUITS (PVT) LTD,SACHIE MILK BISK,SACHIE/60GM/PLPCH/MILK BISK,60.0,GM,60GM,PLPCH ,1,,,,,,,,,BRAND,,
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/67/G/EWRPK/NO-1/LEMONGRASS ,67.0,GM,67G,EWRPK ,2,,,,,,,,,ITEMDESC,LEMONGRASS,
